,Drill Depth (m),Soil type,X-coordinate,Y-coordinate,Height Above Sea Level,Drill Pressure (kN),Flushing Pressure (kN),Torque
0,0.4,ORG. MAT.,,,,,,
1,0.42,ORG. MAT.,,,,,,
2,0.44,ORG. MAT.,,,,,,
3,0.46,ORG. MAT.,,,,,,
4,0.48,ORG. MAT.,,,,,,
5,0.5,ORG. MAT.,,,,,,
6,0.52,ORG. MAT.,,,,,,
7,0.54,ORG. MAT.,,,,,,
8,0.56,ORG. MAT.,,,,,,
9,0.58,ORG. MAT.,,,,,,
10,0.6,ORG. MAT.,,,,,,
11,0.62,ORG. MAT.,,,,,,
12,0.64,ORG. MAT.,,,,,,
13,0.66,ORG. MAT.,,,,,,
14,0.68,ORG. MAT.,,,,,,
15,0.7,ORG. MAT.,1229655.51,89074.28,62.99,0.0,0.0,0.0
16,0.72,ORG. MAT.,1229655.51,89074.28,62.97,171.0,0.0,1.0
17,0.74,ORG. MAT.,1229655.51,89074.28,62.95,211.0,0.0,0.0
18,0.76,ORG. MAT.,1229655.51,89074.28,62.93,215.0,0.0,0.0
19,0.78,ORG. MAT.,1229655.51,89074.28,62.91,203.0,0.0,0.0
20,0.8,ORG. MAT.,1229655.51,89074.28,62.89,185.0,0.0,0.0
21,1.3,CLAY,1229655.51,89074.28,62.39,91.0,0.0,9.0
22,1.32,CLAY,1229655.51,89074.28,62.37,140.0,0.0,3.0
23,1.34,CLAY,1229655.51,89074.28,62.35,140.0,0.0,-8.0
24,1.36,CLAY,1229655.51,89074.28,62.33,140.0,0.0,-8.0
25,1.38,CLAY,1229655.51,89074.28,62.31,137.0,0.0,-10.0
26,1.4,CLAY,1229655.51,89074.28,62.29,123.0,0.0,-10.0
27,1.42,CLAY,1229655.51,89074.28,62.27,115.0,0.0,-9.0
28,1.44,CLAY,1229655.51,89074.28,62.25,111.0,0.0,-9.0
29,1.46,CLAY,1229655.51,89074.28,62.23,115.0,0.0,-8.0
30,1.48,CLAY,1229655.51,89074.28,62.21,125.0,0.0,-7.0
31,1.5,CLAY,1229655.51,89074.28,62.19,133.0,0.0,-5.0
32,1.52,CLAY,1229655.51,89074.28,62.17,140.0,0.0,-4.0
33,1.54,CLAY,1229655.51,89074.28,62.15,148.0,0.0,-3.0
34,1.56,CLAY,1229655.51,89074.28,62.13,153.0,0.0,-1.0
35,1.58,CLAY,1229655.51,89074.28,62.11,158.0,0.0,0.0
36,1.6,CLAY,1229655.51,89074.28,62.09,161.0,0.0,0.0
37,1.62,CLAY,1229655.51,89074.28,62.07,158.0,0.0,1.0
38,1.64,CLAY,1229655.51,89074.28,62.05,145.0,0.0,1.0
39,1.66,CLAY,1229655.51,89074.28,62.03,144.0,0.0,2.0
40,1.68,CLAY,1229655.51,89074.28,62.01,148.0,0.0,4.0
41,1.7,CLAY,1229655.51,89074.28,61.99,150.0,0.0,4.0
42,1.72,CLAY,1229655.51,89074.28,61.97,156.0,0.0,5.0
43,1.74,CLAY,1229655.51,89074.28,61.95,159.0,0.0,6.0
44,1.76,CLAY,1229655.51,89074.28,61.93,169.0,0.0,4.0
45,1.78,CLAY,1229655.51,89074.28,61.91,171.0,0.0,1.0
46,1.8,CLAY,1229655.51,89074.28,61.89,185.0,0.0,0.0
47,1.82,CLAY,1229655.51,89074.28,61.87,214.0,0.0,-1.0
48,1.84,CLAY,1229655.51,89074.28,61.85,266.0,0.0,-3.0
49,1.86,CLAY,1229655.51,89074.28,61.83,368.0,0.0,-5.0
50,1.88,CLAY,1229655.51,89074.28,61.81,415.0,0.0,-3.0
51,1.9,CLAY,1229655.51,89074.28,61.79,499.0,0.0,-1.0
52,3.3,CLAY,1229655.51,89074.28,60.39,115.0,0.0,70.0
53,3.32,CLAY,1229655.51,89074.28,60.37,136.0,0.0,71.0
54,3.34,CLAY,1229655.51,89074.28,60.35,139.0,0.0,74.0
55,3.36,CLAY,1229655.51,89074.28,60.33,140.0,0.0,76.0
56,3.38,CLAY,1229655.51,89074.28,60.31,146.0,0.0,78.0
57,3.4,CLAY,1229655.51,89074.28,60.29,149.0,0.0,79.0
58,3.42,CLAY,1229655.51,89074.28,60.27,152.0,0.0,80.0
59,3.44,CLAY,1229655.51,89074.28,60.25,153.0,0.0,82.0
60,3.46,CLAY,1229655.51,89074.28,60.23,152.0,0.0,83.0
61,3.48,CLAY,1229655.51,89074.28,60.21,154.0,0.0,83.0
62,3.5,CLAY,1229655.51,89074.28,60.19,157.0,0.0,86.0
63,3.52,CLAY,1229655.51,89074.28,60.17,159.0,0.0,87.0
64,3.54,CLAY,1229655.51,89074.28,60.15,160.0,0.0,88.0
65,3.56,CLAY,1229655.51,89074.28,60.13,160.0,0.0,89.0
66,3.58,CLAY,1229655.51,89074.28,60.11,158.0,0.0,89.0
67,3.6,CLAY,1229655.51,89074.28,60.09,156.0,0.0,88.0
68,3.62,CLAY,1229655.51,89074.28,60.07,154.0,0.0,87.0
69,3.64,CLAY,1229655.51,89074.28,60.05,153.0,0.0,88.0
70,3.66,CLAY,1229655.51,89074.28,60.03,156.0,0.0,89.0
71,3.68,CLAY,1229655.51,89074.28,60.01,161.0,0.0,91.0
72,3.7,CLAY,1229655.51,89074.28,59.99,166.0,0.0,93.0
73,3.72,CLAY,1229655.51,89074.28,59.97,164.0,0.0,95.0
74,3.74,CLAY,1229655.51,89074.28,59.95,164.0,0.0,95.0
75,3.76,CLAY,1229655.51,89074.28,59.93,166.0,0.0,97.0
76,3.78,CLAY,1229655.51,89074.28,59.91,165.0,0.0,96.0
77,3.8,CLAY,1229655.51,89074.28,59.89,162.0,0.0,96.0
78,3.82,CLAY,1229655.51,89074.28,59.87,162.0,0.0,98.0
79,3.84,CLAY,1229655.51,89074.28,59.85,169.0,0.0,100.0
80,3.86,CLAY,1229655.51,89074.28,59.83,170.0,0.0,101.0
81,7.4,QUICK CLAY,1229655.51,89074.28,56.29,288.0,0.0,236.0
82,7.42,QUICK CLAY,1229655.51,89074.28,56.27,291.0,0.0,242.0
83,7.44,QUICK CLAY,1229655.51,89074.28,56.25,288.0,0.0,242.0
84,7.46,QUICK CLAY,1229655.51,89074.28,56.23,285.0,0.0,238.0
85,7.48,QUICK CLAY,1229655.51,89074.28,56.21,295.0,0.0,244.0
86,7.5,QUICK CLAY,1229655.51,89074.28,56.19,302.0,0.0,250.0
87,7.52,QUICK CLAY,1229655.51,89074.28,56.17,299.0,0.0,249.0
88,7.54,QUICK CLAY,1229655.51,89074.28,56.15,295.0,0.0,250.0
89,7.56,QUICK CLAY,1229655.51,89074.28,56.13,291.0,0.0,251.0
90,7.58,QUICK CLAY,1229655.51,89074.28,56.11,291.0,0.0,241.0
91,7.6,QUICK CLAY,1229655.51,89074.28,56.09,299.0,0.0,244.0
92,7.62,QUICK CLAY,1229655.51,89074.28,56.07,299.0,0.0,253.0
93,7.64,QUICK CLAY,1229655.51,89074.28,56.05,301.0,0.0,255.0
94,7.66,QUICK CLAY,1229655.51,89074.28,56.03,299.0,0.0,254.0
95,7.68,QUICK CLAY,1229655.51,89074.28,56.01,298.0,0.0,254.0
96,7.7,QUICK CLAY,1229655.51,89074.28,55.99,300.0,0.0,257.0
97,7.72,QUICK CLAY,1229655.51,89074.28,55.97,299.0,0.0,253.0
98,7.74,QUICK CLAY,1229655.51,89074.28,55.95,301.0,0.0,255.0
99,7.76,QUICK CLAY,1229655.51,89074.28,55.93,309.0,0.0,258.0
100,7.78,QUICK CLAY,1229655.51,89074.28,55.91,308.0,0.0,256.0
101,7.8,QUICK CLAY,1229655.51,89074.28,55.89,303.0,0.0,250.0
102,8.4,QUICK CLAY,1229655.51,89074.28,55.29,345.0,0.0,297.0
103,8.42,QUICK CLAY,1229655.51,89074.28,55.27,343.0,0.0,292.0
104,8.44,QUICK CLAY,1229655.51,89074.28,55.25,331.0,0.0,288.0
105,8.46,QUICK CLAY,1229655.51,89074.28,55.23,337.0,0.0,288.0
106,8.48,QUICK CLAY,1229655.51,89074.28,55.21,348.0,0.0,298.0
107,8.5,QUICK CLAY,1229655.51,89074.28,55.19,348.0,0.0,299.0
108,8.52,QUICK CLAY,1229655.51,89074.28,55.17,333.0,0.0,289.0
109,8.54,QUICK CLAY,1229655.51,89074.28,55.15,337.0,0.0,288.0
110,8.56,QUICK CLAY,1229655.51,89074.28,55.13,345.0,0.0,298.0
111,8.58,QUICK CLAY,1229655.51,89074.28,55.11,348.0,0.0,298.0
112,8.6,QUICK CLAY,1229655.51,89074.28,55.09,346.0,0.0,301.0
113,8.62,QUICK CLAY,1229655.51,89074.28,55.07,346.0,0.0,292.0
114,8.64,QUICK CLAY,1229655.51,89074.28,55.05,342.0,0.0,294.0
115,8.66,QUICK CLAY,1229655.51,89074.28,55.03,345.0,0.0,294.0
116,8.68,QUICK CLAY,1229655.51,89074.28,55.01,339.0,0.0,287.0
117,8.7,QUICK CLAY,1229655.51,89074.28,54.99,320.0,0.0,280.0
118,8.72,QUICK CLAY,1229655.51,89074.28,54.97,309.0,0.0,274.0
119,8.74,QUICK CLAY,1229655.51,89074.28,54.95,317.0,0.0,272.0
120,8.76,QUICK CLAY,1229655.51,89074.28,54.93,316.0,0.0,276.0
121,8.78,QUICK CLAY,1229655.51,89074.28,54.91,316.0,0.0,279.0
122,8.8,QUICK CLAY,1229655.51,89074.28,54.89,341.0,0.0,293.0
123,9.4,QUICK CLAY,1229655.51,89074.28,54.29,325.0,0.0,196.0
124,9.42,QUICK CLAY,1229655.51,89074.28,54.27,331.0,0.0,202.0
125,9.44,QUICK CLAY,1229655.51,89074.28,54.25,331.0,0.0,207.0
126,9.46,QUICK CLAY,1229655.51,89074.28,54.23,323.0,0.0,211.0
127,9.48,QUICK CLAY,1229655.51,89074.28,54.21,323.0,0.0,220.0
128,9.5,QUICK CLAY,1229655.51,89074.28,54.19,333.0,0.0,226.0
129,9.52,QUICK CLAY,1229655.51,89074.28,54.17,339.0,0.0,232.0
130,9.54,QUICK CLAY,1229655.51,89074.28,54.15,327.0,0.0,233.0
131,9.56,QUICK CLAY,1229655.51,89074.28,54.13,366.0,0.0,245.0
132,9.58,QUICK CLAY,1229655.51,89074.28,54.11,402.0,0.0,248.0
133,9.6,QUICK CLAY,1229655.51,89074.28,54.09,382.0,0.0,246.0
134,9.62,QUICK CLAY,1229655.51,89074.28,54.07,343.0,0.0,244.0
135,9.64,QUICK CLAY,1229655.51,89074.28,54.05,320.0,0.0,239.0
136,9.66,QUICK CLAY,1229655.51,89074.28,54.03,317.0,0.0,241.0
137,9.68,QUICK CLAY,1229655.51,89074.28,54.01,329.0,0.0,244.0
138,9.7,QUICK CLAY,1229655.51,89074.28,53.99,329.0,0.0,253.0
139,9.72,QUICK CLAY,1229655.51,89074.28,53.97,331.0,0.0,253.0
140,9.74,QUICK CLAY,1229655.51,89074.28,53.95,331.0,0.0,258.0
141,9.76,QUICK CLAY,1229655.51,89074.28,53.93,342.0,0.0,262.0
142,9.78,QUICK CLAY,1229655.51,89074.28,53.91,342.0,0.0,260.0
143,9.8,QUICK CLAY,1229655.51,89074.28,53.89,344.0,0.0,263.0
144,10.4,CLAY,1229655.51,89074.28,53.29,364.0,0.0,275.0
145,10.42,CLAY,1229655.51,89074.28,53.27,359.0,0.0,278.0
146,10.44,CLAY,1229655.51,89074.28,53.25,368.0,0.0,289.0
147,10.46,CLAY,1229655.51,89074.28,53.23,394.0,0.0,302.0
148,10.48,CLAY,1229655.51,89074.28,53.21,411.0,0.0,309.0
149,10.5,CLAY,1229655.51,89074.28,53.19,397.0,0.0,307.0
150,10.52,CLAY,1229655.51,89074.28,53.17,381.0,0.0,304.0
151,10.54,CLAY,1229655.51,89074.28,53.15,380.0,0.0,302.0
152,10.56,CLAY,1229655.51,89074.28,53.13,372.0,0.0,302.0
153,10.58,CLAY,1229655.51,89074.28,53.11,362.0,0.0,301.0
154,10.6,CLAY,1229655.51,89074.28,53.09,358.0,0.0,299.0
155,10.62,CLAY,1229655.51,89074.28,53.07,356.0,0.0,299.0
156,10.64,CLAY,1229655.51,89074.28,53.05,363.0,0.0,296.0
157,10.66,CLAY,1229655.51,89074.28,53.03,356.0,0.0,300.0
158,10.68,CLAY,1229655.51,89074.28,53.01,355.0,0.0,299.0
159,10.7,CLAY,1229655.51,89074.28,52.99,359.0,0.0,300.0
160,10.72,CLAY,1229655.51,89074.28,52.97,360.0,0.0,298.0
161,10.74,CLAY,1229655.51,89074.28,52.95,358.0,0.0,301.0
162,10.76,CLAY,1229655.51,89074.28,52.93,363.0,0.0,301.0
163,10.78,CLAY,1229655.51,89074.28,52.91,355.0,0.0,300.0
164,10.8,CLAY,1229655.51,89074.28,52.89,369.0,0.0,316.0
